SID,START,END,ELAPSED,CLASS
368197,08/23/2023 12:19:59,08/23/2023 13:05:48,2749,71044 - MATH 90-71044
206594,08/23/2023 12:20:16,08/23/2023 16:20:16,14400,70957 - MATH 110A-70957
326866,08/23/2023 12:26:02,08/23/2023 16:26:02,14400,71046 - MATH 90-71046
13330,08/23/2023 12:59:31,08/23/2023 15:55:37,10566,70955 - MATH 110A-70955
397368,08/23/2023 13:10:41,08/23/2023 17:10:41,14400,70999 - MATH 75-70999
394827,08/23/2023 13:16:16,08/23/2023 17:16:16,14400,71044 - MATH 90-71044
190467,08/23/2023 13:20:23,08/23/2023 14:05:34,2711,71052 - MATH 95-71052
390346,08/23/2023 14:18:19,08/23/2023 17:02:33,9854,71043 - MATH 90-71043
366007,08/23/2023 14:32:37,08/23/2023 16:20:56,6499,70955 - MATH 110A-70955
397632,08/23/2023 15:12:50,08/23/2023 19:12:50,14400,71048 - MATH 90S-71048
397671,08/23/2023 15:15:27,08/23/2023 19:15:27,14400,71024 - MATH 80-71024
388777,08/23/2023 15:17:59,08/23/2023 19:17:59,14400,71044 - MATH 90-71044
396151,08/23/2023 15:55:31,08/23/2023 16:50:27,3296,73049 - MATH 90-73049
356004,08/23/2023 16:01:33,08/23/2023 16:51:30,2997,72487 - MATH 98-72487
309001,08/24/2023 8:59:24,08/24/2023 10:10:24,4260,71026 - MATH 80S-71026
14662,08/24/2023 9:22:19,08/24/2023 10:26:56,3877,70963 - MATH 110B-70963
382037,08/24/2023 10:05:50,08/24/2023 10:16:22,632,70952 - MATH 110A-70952
397676,08/24/2023 10:28:14,08/24/2023 14:28:14,14400,71033 - MATH 90-71033
370630,08/24/2023 10:30:24,08/24/2023 14:30:24,14400,71033 - MATH 90-71033
394838,08/24/2023 10:30:48,08/24/2023 10:31:06,18,71033 - MATH 90-71033
397149,08/24/2023 10:31:32,08/24/2023 14:31:32,14400,71033 - MATH 90-71033
395123,08/24/2023 10:32:11,08/24/2023 14:32:11,14400,71033 - MATH 90-71033
350224,08/24/2023 10:36:48,08/24/2023 14:36:48,14400,71033 - MATH 90-71033
395652,08/24/2023 10:37:08,08/24/2023 14:37:08,14400,71033 - MATH 90-71033
371144,08/24/2023 10:37:26,08/24/2023 14:37:26,14400,71033 - MATH 90-71033
398416,08/24/2023 10:37:44,08/24/2023 14:37:44,14400,71033 - MATH 90-71033
382712,08/24/2023 10:38:02,08/24/2023 14:38:02,14400,71033 - MATH 90-71033
378532,08/24/2023 10:38:25,08/24/2023 14:38:25,14400,71033 - MATH 90-71033
375872,08/24/2023 10:38:46,08/24/2023 14:38:46,14400,71033 - MATH 90-71033
35596,08/24/2023 10:39:09,08/24/2023 14:39:09,14400,71033 - MATH 90-71033
371257,08/24/2023 10:39:25,08/24/2023 14:39:25,14400,71033 - MATH 90-71033
395957,08/24/2023 10:39:39,08/24/2023 14:39:39,14400,71033 - MATH 90-71033
389983,08/24/2023 10:39:53,08/24/2023 14:39:53,14400,71033 - MATH 90-71033
37339,08/24/2023 10:40:09,08/24/2023 14:40:09,14400,71033 - MATH 90-71033
390695,08/24/2023 10:40:26,08/24/2023 14:40:26,14400,71033 - MATH 90-71033
208279,08/24/2023 10:40:46,08/24/2023 14:40:46,14400,71033 - MATH 90-71033
395048,08/24/2023 10:41:19,08/24/2023 14:41:19,14400,71033 - MATH 90-71033
388981,08/24/2023 10:41:35,08/24/2023 14:41:35,14400,71033 - MATH 90-71033
397671,08/24/2023 10:48:48,08/24/2023 10:54:56,368,71024 - MATH 80-71024
398279,08/24/2023 11:00:59,08/24/2023 15:00:59,14400,71046 - MATH 90-71046
326866,08/24/2023 11:07:26,08/24/2023 15:07:26,14400,71046 - MATH 90-71046
391247,08/24/2023 11:08:59,08/24/2023 12:30:36,4897,70954 - MATH 110A-70954
187990,08/24/2023 11:11:02,08/24/2023 12:35:42,5080,70952 - MATH 110A-70952
317115,08/24/2023 11:46:05,08/24/2023 12:57:00,4255,70956 - MATH 110A-70956
395626,08/24/2023 12:25:33,08/24/2023 13:49:58,5065,70995 - MATH 70-70995
370683,08/24/2023 12:36:07,08/24/2023 16:36:07,14400,71044 - MATH 90-71044
329487,08/24/2023 12:49:31,08/24/2023 14:04:10,4479,70999 - MATH 75-70999
13330,08/24/2023 13:01:38,08/24/2023 16:07:25,11147,70955 - MATH 110A-70955
371143,08/24/2023 13:09:06,08/24/2023 17:09:06,14400,71056 - MATH 95-71056
373496,08/24/2023 13:21:00,08/24/2023 17:21:00,14400,71024 - MATH 80-71024
381777,08/24/2023 13:32:44,08/24/2023 14:08:45,2161,70955 - MATH 110A-70955
390594,08/24/2023 13:59:09,08/24/2023 17:59:09,14400,70948 - MATH 100A-70948
397380,08/24/2023 15:24:09,08/24/2023 16:11:20,2831,72486 - MATH 98-72486
366007,08/24/2023 16:10:57,08/24/2023 17:12:23,3686,70955 - MATH 110A-70955
359846,08/25/2023 9:39:53,08/25/2023 13:39:53,14400,72453 - MATH 110B-72453
187990,08/25/2023 10:21:29,08/25/2023 13:45:27,12238,70952 - MATH 110A-70952
37339,08/25/2023 10:46:53,08/25/2023 11:27:50,2457,71033 - MATH 90-71033
371407,08/25/2023 11:25:35,08/25/2023 11:40:24,889,71024 - MATH 80-71024
389695,08/25/2023 11:31:56,08/25/2023 12:47:11,4515,71046 - MATH 90-71046
397796,08/25/2023 11:33:35,08/25/2023 15:33:35,14400,71026 - MATH 80S-71026
326866,08/25/2023 11:34:03,08/25/2023 15:34:03,14400,71046 - MATH 90-71046
323170,08/25/2023 11:34:34,08/25/2023 15:34:34,14400,71046 - MATH 90-71046
380961,08/25/2023 11:34:59,08/25/2023 12:45:33,4234,71050 - MATH 90S-71050
398279,08/25/2023 11:35:34,08/25/2023 13:19:57,6263,71046 - MATH 90-71046
398945,08/25/2023 11:42:13,08/25/2023 15:42:13,14400,71050 - MATH 90S-71050
397790,08/25/2023 12:20:49,08/25/2023 13:07:33,2804,71046 - MATH 90-71046
397632,08/25/2023 12:57:18,08/25/2023 16:57:18,14400,71048 - MATH 90S-71048
21884,08/28/2023 10:24:40,08/28/2023 13:25:00,10820,71918 - MATH 90S-71918
396345,08/28/2023 10:34:15,08/28/2023 14:34:15,14400,71023 - MATH 80-71023
382037,08/28/2023 10:58:23,08/28/2023 13:03:28,7505,70952 - MATH 110A-70952
390879,08/28/2023 11:12:22,08/28/2023 15:12:22,14400,71039 - MATH 90-71039
370854,08/28/2023 11:12:36,08/28/2023 13:03:56,6680,70964 - MATH 110B-70964
206594,08/28/2023 11:56:03,08/28/2023 15:56:03,14400,70957 - MATH 110A-70957
397632,08/28/2023 12:18:47,08/28/2023 15:33:39,11692,71048 - MATH 90S-71048
368197,08/28/2023 12:30:04,08/28/2023 12:46:52,1008,71044 - MATH 90-71044
190467,08/28/2023 13:18:17,08/28/2023 15:54:08,9351,71052 - MATH 95-71052
372190,08/28/2023 13:22:54,08/28/2023 14:32:58,4204,70951 - MATH 110A-70951
21884,08/28/2023 13:25:26,08/28/2023 13:25:40,14,71918 - MATH 90S-71918
370683,08/28/2023 13:45:42,08/28/2023 17:45:42,14400,71044 - MATH 90-71044
354266,08/28/2023 14:58:31,08/28/2023 15:15:14,1003,70953 - MATH 110A-70953
397796,08/28/2023 14:58:52,08/28/2023 18:58:52,14400,71026 - MATH 80S-71026
366007,08/28/2023 15:19:59,08/28/2023 17:21:32,7293,70955 - MATH 110A-70955
382037,08/29/2023 10:08:10,08/29/2023 14:05:35,14245,70952 - MATH 110A-70952
380106,08/29/2023 11:03:51,08/29/2023 15:03:51,14400,71021 - MATH 80-71021
395292,08/29/2023 11:04:34,08/29/2023 15:04:34,14400,71021 - MATH 80-71021
391247,08/29/2023 11:04:51,08/29/2023 11:41:05,2174,70954 - MATH 110A-70954
398279,08/29/2023 11:05:12,08/29/2023 13:05:19,7207,71046 - MATH 90-71046
381233,08/29/2023 11:19:40,08/29/2023 15:19:40,14400,71048 - MATH 90S-71048
390879,08/29/2023 11:55:20,08/29/2023 15:55:20,14400,71039 - MATH 90-71039
340650,08/29/2023 11:56:05,08/29/2023 14:05:50,7785,70953 - MATH 110A-70953
379513,08/29/2023 12:06:35,08/29/2023 13:52:33,6358,71023 - MATH 80-71023
329367,08/29/2023 12:07:01,08/29/2023 13:52:44,6343,71023 - MATH 80-71023
395257,08/29/2023 12:07:43,08/29/2023 13:53:09,6326,71023 - MATH 80-71023
364260,08/29/2023 12:20:43,08/29/2023 13:43:35,4972,71044 - MATH 90-71044
10056,08/29/2023 12:22:06,08/29/2023 13:21:48,3582,71043 - MATH 90-71043
390730,08/29/2023 12:34:28,08/29/2023 13:28:05,3217,71057 - MATH 98-71057
382253,08/29/2023 12:44:35,08/29/2023 16:44:35,14400,71043 - MATH 90-71043
382732,08/29/2023 13:59:06,08/29/2023 16:07:46,7720,71023 - MATH 80-71023
390594,08/29/2023 14:09:31,08/29/2023 15:02:57,3206,70948 - MATH 100A-70948
395036,08/29/2023 15:28:02,08/29/2023 19:28:02,14400,71013 - MATH 80-71013
395070,08/29/2023 15:28:28,08/29/2023 19:28:28,14400,71057 - MATH 98-71057
384360,08/29/2023 16:08:22,08/29/2023 16:08:30,8,71023 - MATH 80-71023
190467,08/30/2023 9:24:27,08/30/2023 10:48:30,5043,71052 - MATH 95-71052
203037,08/30/2023 9:38:47,08/30/2023 13:38:47,14400,71023 - MATH 80-71023
359846,08/30/2023 9:40:33,08/30/2023 13:40:33,14400,72453 - MATH 110B-72453
397632,08/30/2023 9:42:53,08/30/2023 13:42:53,14400,71048 - MATH 90S-71048
390346,08/30/2023 10:10:29,08/30/2023 10:50:34,2405,71043 - MATH 90-71043
327349,08/30/2023 10:27:18,08/30/2023 11:09:20,2522,70951 - MATH 110A-70951
395292,08/30/2023 10:29:43,08/30/2023 14:29:43,14400,71021 - MATH 80-71021
374013,08/30/2023 10:48:22,08/30/2023 11:17:06,1724,70951 - MATH 110A-70951
390730,08/30/2023 10:49:44,08/30/2023 14:49:44,14400,71057 - MATH 98-71057
380106,08/30/2023 10:55:19,08/30/2023 14:55:19,14400,71021 - MATH 80-71021
396151,08/30/2023 10:57:50,08/30/2023 11:21:07,1397,73049 - MATH 90-73049
384360,08/30/2023 11:08:39,08/30/2023 11:36:19,1660,71023 - MATH 80-71023
382732,08/30/2023 11:09:06,08/30/2023 11:36:37,1651,71023 - MATH 80-71023
206594,08/30/2023 11:20:58,08/30/2023 15:20:58,14400,70957 - MATH 110A-70957
21884,08/30/2023 11:22:35,08/30/2023 15:22:35,14400,71918 - MATH 90S-71918
395640,08/30/2023 11:40:28,08/30/2023 15:40:28,14400,70959 - MATH 110A-70959
367877,08/30/2023 11:40:44,08/30/2023 15:40:44,14400,70952 - MATH 110A-70952
398148,08/30/2023 11:52:31,08/30/2023 15:52:31,14400,72480 - MATH 90-72480
389983,08/30/2023 12:09:11,08/30/2023 16:09:11,14400,71033 - MATH 90-71033
395036,08/30/2023 13:07:01,08/30/2023 17:07:01,14400,71013 - MATH 80-71013
395070,08/30/2023 13:07:50,08/30/2023 17:07:50,14400,71057 - MATH 98-71057
327349,08/30/2023 13:08:04,08/30/2023 14:29:25,4881,70951 - MATH 110A-70951
372190,08/30/2023 13:25:48,08/30/2023 14:34:58,4150,70951 - MATH 110A-70951
190467,08/30/2023 13:28:23,08/30/2023 14:07:28,2345,71052 - MATH 95-71052
396639,08/30/2023 13:58:53,08/30/2023 17:58:53,14400,72480 - MATH 90-72480
395012,08/30/2023 14:07:18,08/30/2023 15:13:39,3981,71023 - MATH 80-71023
390346,08/30/2023 14:14:39,08/30/2023 17:03:03,10104,71043 - MATH 90-71043
396151,08/30/2023 14:19:28,08/30/2023 14:23:55,267,73049 - MATH 90-73049
366007,08/30/2023 14:39:36,08/30/2023 15:31:37,3121,70955 - MATH 110A-70955
390879,08/30/2023 14:51:17,08/30/2023 15:21:05,1788,71039 - MATH 90-71039
344898,08/30/2023 14:52:00,08/30/2023 15:12:53,1253,73049 - MATH 90-73049
399011,08/30/2023 14:53:44,08/30/2023 15:37:10,2606,73050 - MATH 90S-73050
399762,08/30/2023 14:57:46,08/30/2023 18:57:46,14400,70994 - MATH 70-70994
21884,08/30/2023 15:58:01,08/30/2023 15:58:12,11,71918 - MATH 90S-71918
198476,08/30/2023 16:28:13,08/30/2023 16:55:49,1656,72466 - MATH 80-72466
399170,08/31/2023 9:32:59,08/31/2023 13:32:59,14400,71024 - MATH 80-71024
336509,08/31/2023 9:41:33,08/31/2023 13:41:33,14400,71918 - MATH 90S-71918
380106,08/31/2023 10:15:33,08/31/2023 14:02:57,13644,71021 - MATH 80-71021
206594,08/31/2023 10:39:28,08/31/2023 11:07:39,1691,70957 - MATH 110A-70957
395292,08/31/2023 10:51:45,08/31/2023 12:57:37,7552,71021 - MATH 80-71021
391247,08/31/2023 10:54:42,08/31/2023 12:44:09,6567,70954 - MATH 110A-70954
398945,08/31/2023 10:58:58,08/31/2023 12:56:35,7057,71050 - MATH 90S-71050
323170,08/31/2023 11:00:20,08/31/2023 13:30:20,9000,71046 - MATH 90-71046
399195,08/31/2023 11:02:40,08/31/2023 15:02:40,14400,73049 - MATH 90-73049
354266,08/31/2023 11:22:25,08/31/2023 12:02:21,2396,70953 - MATH 110A-70953
41213,08/31/2023 11:37:39,08/31/2023 15:37:39,14400,72468 - MATH 80-72468
398279,08/31/2023 11:38:03,08/31/2023 14:22:19,9856,71046 - MATH 90-71046
187990,08/31/2023 11:38:59,08/31/2023 15:38:59,14400,70952 - MATH 110A-70952
329367,08/31/2023 11:45:44,08/31/2023 12:07:36,1312,71028 - MATH 80S-71028
335619,08/31/2023 11:53:50,08/31/2023 15:53:50,14400,70954 - MATH 110A-70954
390879,08/31/2023 12:08:44,08/31/2023 13:00:35,3111,71039 - MATH 90-71039
397562,08/31/2023 12:25:05,08/31/2023 14:15:59,6654,73040 - MATH 108-73040
398945,08/31/2023 12:56:56,08/31/2023 16:44:17,13641,71050 - MATH 90S-71050
204072,08/31/2023 12:59:36,08/31/2023 13:51:47,3131,72480 - MATH 90-72480
397790,08/31/2023 13:02:23,08/31/2023 14:26:35,5052,71046 - MATH 90-71046
380891,08/31/2023 13:44:15,08/31/2023 17:44:15,14400,72484 - MATH 95-72484
13330,08/31/2023 13:44:56,08/31/2023 15:18:50,5634,70955 - MATH 110A-70955
373496,08/31/2023 13:50:55,08/31/2023 16:57:49,11214,71024 - MATH 80-71024
390594,08/31/2023 14:07:04,08/31/2023 16:22:58,8154,70948 - MATH 100A-70948
193494,08/31/2023 14:08:28,08/31/2023 15:55:14,6406,71043 - MATH 90-71043
382037,08/31/2023 14:09:37,08/31/2023 17:03:08,10411,70952 - MATH 110A-70952
340650,08/31/2023 14:10:02,08/31/2023 18:10:02,14400,70953 - MATH 110A-70953
397380,08/31/2023 14:14:19,08/31/2023 16:19:56,7537,72486 - MATH 98-72486
390879,08/31/2023 14:43:58,08/31/2023 15:46:04,3726,71039 - MATH 90-71039
395070,08/31/2023 15:23:00,08/31/2023 19:23:00,14400,71057 - MATH 98-71057
395036,08/31/2023 15:23:25,08/31/2023 19:23:25,14400,71013 - MATH 80-71013
397671,08/31/2023 15:35:03,08/31/2023 16:55:23,4820,71024 - MATH 80-71024
48952,08/31/2023 15:38:48,08/31/2023 15:55:23,995,70996 - MATH 70-70996
366007,08/31/2023 15:39:58,08/31/2023 17:01:21,4883,70955 - MATH 110A-70955
371407,09/01/2023 9:24:27,09/01/2023 10:11:34,2827,71024 - MATH 80-71024
397380,09/01/2023 9:58:33,09/01/2023 13:58:33,14400,72486 - MATH 98-72486
359842,09/01/2023 10:12:09,09/01/2023 12:12:08,7199,72468 - MATH 80-72468
393449,09/01/2023 10:12:46,09/01/2023 12:12:01,7155,72468 - MATH 80-72468
332196,09/01/2023 10:33:30,09/01/2023 14:33:30,14400,71021 - MATH 80-71021
395292,09/01/2023 10:48:11,09/01/2023 11:30:51,2560,71021 - MATH 80-71021
203037,09/01/2023 11:00:49,09/01/2023 11:15:18,869,71023 - MATH 80-71023
371407,09/01/2023 11:07:57,09/01/2023 11:57:04,2947,71024 - MATH 80-71024
399170,09/01/2023 11:18:35,09/01/2023 15:18:35,14400,71024 - MATH 80-71024
323170,09/01/2023 11:38:00,09/01/2023 13:43:14,7514,71046 - MATH 90-71046
398945,09/01/2023 11:43:15,09/01/2023 15:43:15,14400,71050 - MATH 90S-71050
395175,09/01/2023 11:44:32,09/01/2023 12:19:20,2088,71050 - MATH 90S-71050
398279,09/01/2023 12:22:49,09/01/2023 16:22:49,14400,71046 - MATH 90-71046
194578,09/01/2023 12:55:22,09/01/2023 16:55:22,14400,70949 - MATH 108-70949
397632,09/01/2023 13:05:15,09/01/2023 17:05:15,14400,71048 - MATH 90S-71048
370997,09/01/2023 13:32:15,09/01/2023 13:56:27,1452,72482 - MATH 90S-72482
397557,09/01/2023 13:37:24,09/01/2023 17:37:24,14400,72480 - MATH 90-72480
370683,09/01/2023 14:01:27,09/01/2023 18:01:27,14400,71044 - MATH 90-71044
397380,09/01/2023 14:03:40,09/01/2023 14:03:54,14,72486 - MATH 98-72486
14662,09/05/2023 9:00:34,09/05/2023 9:45:36,2702,70963 - MATH 110B-70963
398305,09/05/2023 9:01:12,09/05/2023 10:57:07,6955,71023 - MATH 80-71023
380106,09/05/2023 10:36:20,09/05/2023 12:43:38,7638,71021 - MATH 80-71021
366148,09/05/2023 10:42:50,09/05/2023 14:42:50,14400,70949 - MATH 108-70949
328656,09/05/2023 10:56:00,09/05/2023 11:00:40,280,70957 - MATH 110A-70957
372591,09/05/2023 11:10:09,09/05/2023 12:42:10,5521,71023 - MATH 80-71023
398279,09/05/2023 11:20:55,09/05/2023 11:53:28,1953,71046 - MATH 90-71046
389983,09/05/2023 11:34:06,09/05/2023 11:34:19,13,71056 - MATH 95-71056
389983,09/05/2023 11:34:44,09/05/2023 15:34:44,14400,71033 - MATH 90-71033
399170,09/05/2023 11:47:49,09/05/2023 12:29:23,2494,71024 - MATH 80-71024
329367,09/05/2023 12:12:37,09/05/2023 12:22:42,605,71028 - MATH 80S-71028
390730,09/05/2023 12:33:18,09/05/2023 13:38:13,3895,71057 - MATH 98-71057
373496,09/05/2023 12:47:05,09/05/2023 14:00:56,4431,71024 - MATH 80-71024
370683,09/05/2023 12:54:36,09/05/2023 16:54:36,14400,71044 - MATH 90-71044
208568,09/05/2023 13:00:41,09/05/2023 15:42:02,9681,72480 - MATH 90-72480
380998,09/05/2023 13:02:05,09/05/2023 13:52:57,3052,72485 - MATH 95-72485
390512,09/05/2023 13:10:27,09/05/2023 17:10:27,14400,72480 - MATH 90-72480
354266,09/05/2023 13:17:16,09/05/2023 14:38:10,4854,70953 - MATH 110A-70953
329367,09/05/2023 13:28:07,09/05/2023 13:53:25,1518,71028 - MATH 80S-71028
332196,09/05/2023 13:34:19,09/05/2023 17:34:19,14400,71021 - MATH 80-71021
395694,09/05/2023 13:46:51,09/05/2023 14:36:59,3008,70949 - MATH 108-70949
394857,09/05/2023 13:59:56,09/05/2023 17:59:56,14400,71046 - MATH 90-71046
395325,09/05/2023 14:00:12,09/05/2023 18:00:12,14400,71046 - MATH 90-71046
399170,09/05/2023 14:00:40,09/05/2023 18:00:40,14400,71024 - MATH 80-71024
30511,09/05/2023 14:16:58,09/05/2023 18:16:58,14400,72484 - MATH 95-72484
345640,09/05/2023 14:27:57,09/05/2023 15:12:39,2682,71024 - MATH 80-71024
399011,09/05/2023 14:31:29,09/05/2023 15:05:03,2014,73050 - MATH 90S-73050
380891,09/05/2023 14:35:14,09/05/2023 18:35:14,14400,72484 - MATH 95-72484
370650,09/05/2023 15:07:33,09/05/2023 15:58:59,3086,70960 - MATH 110A-70960
366007,09/05/2023 15:57:13,09/05/2023 16:51:11,3238,70955 - MATH 110A-70955
13330,09/05/2023 16:06:42,09/05/2023 16:46:43,2401,70955 - MATH 110A-70955
367402,09/05/2023 16:46:29,09/05/2023 20:46:29,14400,71013 - MATH 80-71013
14662,09/06/2023 8:32:14,09/06/2023 10:51:00,8326,70963 - MATH 110B-70963
359846,09/06/2023 9:41:13,09/06/2023 10:30:36,2963,72453 - MATH 110B-72453
327349,09/06/2023 9:54:50,09/06/2023 11:09:32,4482,70951 - MATH 110A-70951
381942,09/06/2023 10:10:54,09/06/2023 10:53:10,2536,71918 - MATH 90S-71918
399170,09/06/2023 10:19:29,09/06/2023 12:07:54,6505,71024 - MATH 80-71024
193494,09/06/2023 10:21:10,09/06/2023 10:42:21,1271,71043 - MATH 90-71043
389983,09/06/2023 10:31:32,09/06/2023 14:31:32,14400,71033 - MATH 90-71033
21884,09/06/2023 10:54:16,09/06/2023 13:20:48,8792,71918 - MATH 90S-71918
395292,09/06/2023 10:57:03,09/06/2023 13:07:27,7824,71021 - MATH 80-71021
380106,09/06/2023 10:57:24,09/06/2023 13:49:28,10324,71021 - MATH 80-71021
394860,09/06/2023 10:57:52,09/06/2023 12:03:36,3944,71021 - MATH 80-71021
371407,09/06/2023 10:58:07,09/06/2023 14:58:07,14400,71024 - MATH 80-71024
370650,09/06/2023 10:58:27,09/06/2023 13:19:40,8473,70960 - MATH 110A-70960
380891,09/06/2023 11:04:30,09/06/2023 11:53:49,2959,72484 - MATH 95-72484
380998,09/06/2023 11:52:43,09/06/2023 13:21:22,5319,72485 - MATH 95-72485
370683,09/06/2023 12:06:17,09/06/2023 16:06:17,14400,71044 - MATH 90-71044
398945,09/06/2023 12:12:00,09/06/2023 13:17:30,3930,71050 - MATH 90S-71050
397632,09/06/2023 12:28:19,09/06/2023 16:28:19,14400,71048 - MATH 90S-71048
13330,09/06/2023 12:39:07,09/06/2023 14:38:28,7161,70955 - MATH 110A-70955
340650,09/06/2023 12:43:37,09/06/2023 13:37:08,3211,70953 - MATH 110A-70953
190467,09/06/2023 13:11:59,09/06/2023 14:03:04,3065,71052 - MATH 95-71052
372329,09/06/2023 13:13:54,09/06/2023 13:17:41,227,70951 - MATH 110A-70951
394860,09/06/2023 13:24:44,09/06/2023 14:52:38,5274,71021 - MATH 80-71021
315303,09/06/2023 13:52:02,09/06/2023 17:52:02,14400,72459 - MATH 70-72459
390879,09/06/2023 14:02:35,09/06/2023 14:31:37,1742,71039 - MATH 90-71039
398945,09/06/2023 14:14:31,09/06/2023 18:14:31,14400,71050 - MATH 90S-71050
390346,09/06/2023 14:22:08,09/06/2023 17:05:09,9781,71043 - MATH 90-71043
366007,09/06/2023 14:42:08,09/06/2023 15:17:23,2115,70955 - MATH 110A-70955
399762,09/06/2023 14:58:50,09/06/2023 18:58:50,14400,70994 - MATH 70-70994
193494,09/06/2023 15:38:07,09/06/2023 17:02:41,5074,71043 - MATH 90-71043
335619,09/06/2023 15:38:30,09/06/2023 19:38:30,14400,70954 - MATH 110A-70954
48952,09/06/2023 16:02:25,09/06/2023 16:58:32,3367,70996 - MATH 70-70996
14662,09/06/2023 16:10:30,09/06/2023 20:10:30,14400,70963 - MATH 110B-70963
398148,09/07/2023 9:42:16,09/07/2023 13:42:16,14400,72480 - MATH 90-72480
